repo,relpath,size_bytes,sha256,sha1_blob,loc,top_level_symbols
omni,src/omni_anomaly_engine/__init__.py,735,0fd2357dde481b2be1d9716e566e6bbd412ffea209f562c726605fa198479c21,ceb1c37288b085cf01ef22fe27207d78cdd144e5,28,"__all__:OmniAnomalyEngine,EngineConfig,OmniAnomalyException,DetectorException,ModelException,FusionException"
omni,src/omni_anomaly_engine/agentic/__init__.py,194,93a87633af811c7ae5ec14682a2927dc4e85d516217251311ac14a52c8a8694d,c879bdee52a5da87e698ca5e60824c8cb30d0f3d,5,"__all__:AgenticAutonomy,AgentState,AgentAction"
omni,src/omni_anomaly_engine/agentic/agentic_autonomy.py,10895,8aeb0198674f089a0d5e76a56ebe7ed9e07eed608fdf40169f4a1804e0189674,5e62676233577ce066f3ba6000cabb20e713df7f,314,cls:AgentState;cls:AgentAction;cls:AgenticAutonomy
omni,src/omni_anomaly_engine/agents/__init__.py,536,6499c3d5f91f98c2369a319e1f1e1813282a381a631d772e8b418732dfdbceeb,23cccc1799e80f972274856a6522bd3b1cf8edae,27,"__all__:MercuryA,MercuryConfig,MercuryQuery,MercuryResponse,MercuryMode,MercuryKnowledgeBase,MercuryReasoningEngine,MercuryArtifactGenerator"
omni,src/omni_anomaly_engine/agents/mercury_a.py,26276,e4d7a48c317ca8ad2fd21be63af0dc07e63e3d7e05a04da985a9b42be58327bf,c2c3d52f38e5d5b3d1bc05dce3ab23904957be3e,741,cls:MercuryMode;cls:MercuryConfig;cls:MercuryQuery;cls:MercuryResponse;cls:MercuryKnowledgeBase;cls:MercuryReasoningEngine;cls:MercuryArtifactGenerator;cls:MercuryA
omni,src/omni_anomaly_engine/api/__init__.py,98,ff9c8f48194710c76707729465c328a2761d1e672beb34b84b475fed42fedc93,2d41554c01927bd466f7e8d7a032983054cde24c,5,__all__:app
omni,src/omni_anomaly_engine/api/server.py,3231,19d013070c56456aeb01440784fa206be687f470cb9822f774680c17896efab8,b70ccae81ae60b100029d157da515b78d0b83758,115,cls:UnivariateRequest;cls:MultivariateRequest;cls:HealthResponse;def:health_check;def:detect_univariate;def:detect_multivariate
omni,src/omni_anomaly_engine/cli.py,3765,551ba36d9f7de87dc8836251d19900a578af13111f9805c256253bb5a95b6a58,cc43389d6a157128c80083190b48627f3d01d352,126,def:main;def:detect;def:biometric;def:security;def:train;def:explain
omni,src/omni_anomaly_engine/cli_enhanced.py,22468,b322cd60ad8dfbf76beb0512dcf67c81077dbfc666562ddfe5dfb82d18547f72,4b0dab4915541dc03f865b8ada459680807b64d7,661,def:main;def:detect;def:run_medical;def:run_security;def:run_humanitarian;def:run_schumann;def:run_chemistry;def:biometric;def:train;def:run_demo
omni,src/omni_anomaly_engine/comparison/__init__.py,297,daa9494d1dbde485be9c1e539a3cfc916ee8f50627f9edf58bb6701e5e31169f,944949ce77db92d5db053587fc21db10287dc4a2,13,"__all__:PyODComparison,PyODAlgorithm,CombinationMethod"
omni,src/omni_anomaly_engine/comparison/pyod_integration.py,10680,faee5d135f421658d7f9dcdc9bf3fcedde1ba25728a949918504c8ee06193899,391cb2dc4a4a77ddfa2022108d2b80531af03b15,318,cls:PyODAlgorithm;cls:CombinationMethod;cls:PyODComparison
omni,src/omni_anomaly_engine/core/__init__.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,0,
omni,src/omni_anomaly_engine/core/ai_ethics.py,13990,9b2dd62982f6ce1fee1cbf1e2896982456edff07d69d05d9bf08c4d6ae2d4d86,e71442d6c3dd404f38157adfe4738c04de581ad0,401,cls:EthicalPrinciple;cls:EthicsConfig;cls:EthicsResult;cls:EthicalAutonomyGovernor;def:evaluate_refactoring_ethics
omni,src/omni_anomaly_engine/core/base.py,1959,d3f23fb203c8403bbe578408d712e3889236a824761b3e0c12c2ea5529936c47,d2dcbf937f0880689d1a8824ad97168ffc72c1a9,64,cls:BaseDetector;cls:BaseModel;cls:BaseEncoder
omni,src/omni_anomaly_engine/core/chaos_evolutionary.py,9756,a75592114c7bd94011d56cc420389bc4a9878ef6837cf37c22ed45a5ee529617,c61ce78c7f8ba2b5da892fe99cdc8f8fa4448c94,281,cls:ChaoticMap;cls:ChaosEvolutionOptimizer
omni,src/omni_anomaly_engine/core/config.py,2613,deca69882912582bfdda966faf3e8fc05a767da9a68aa259312b85638ae7eead,eb394fc923cadebfee741251d2b7b13d836a5962,101,cls:DeviceType;cls:FusionMode;cls:DetectorConfig;cls:ModelConfig;cls:FusionConfig;cls:EngineConfig
omni,src/omni_anomaly_engine/core/ethical_config.py,13891,6c90959215218487bc98ec2f0366a596baee57a57b2856bf1d8a10d357914162,d4d3c0b76c7feef03d647bfa4b143c590dadf09d,371,cls:EthicalScalars;cls:EngineConfig
omni,src/omni_anomaly_engine/core/ethical_governor.py,14017,370ff75027a465d402714344193c9c621765351786abe53ec7af1fa842c9f2fe,a1bd90bbf01e4c8594f6cd4c04525eb5a35ab8ad,427,cls:EthicalDecision;cls:BiasMetrics;cls:SigmaDirective;cls:EthicalAutonomyGovernor
omni,src/omni_anomaly_engine/core/ethical_risk_matrix.py,19676,38f5ee4be898a1090abe647cf426393a68f3eb6175bc2b92bfb9ec918635d4d9,ae1f410eb6a5f7794e49b070b1abf45455f214aa,598,cls:RiskLevel;cls:ComplianceRegime;cls:RiskScore;cls:ComplianceRule;cls:USLawPolling;cls:GDPRCompliance;cls:HIPAACompliance;cls:AnomalyOracle;cls:EthicalRiskMatrix
omni,src/omni_anomaly_engine/core/exceptions.py,729,c6110f2e43ba215cb332e4b438adf5ac51706a4a5ae9470bb5e780542780bd82,d02d6bfe3993aa021689ca962ccd159df62ecf82,31,cls:OmniAnomalyException;cls:DetectorException;cls:ModelException;cls:FusionException;cls:ConfigException;cls:DataException;cls:SecurityException
omni,src/omni_anomaly_engine/core/extended_anomaly_engine.py,10473,f7081dbc0ac932d8245d2427fc32a58521ce5f0f605104580a4bd96519a394c0,41885ff925a28942c22cc45252cf7be58a59698c,306,cls:EngineConfig;cls:EvolutionStrategy;cls:EvolutionEngine;cls:SecurityEngine;cls:IntegrationEngine;cls:OmniAXAEngine
omni,src/omni_anomaly_engine/core/federated_learning.py,4284,6fe3876255ab9635f7f6785594fff58032cc629ef675217aaccb7043c0e13ad8,135afeacafd5b5314cec26e2944d823d197846cd,113,cls:FederatedAnomalyDetector
omni,src/omni_anomaly_engine/core/fusion.py,39943,9b1f4c874a44e4c986adb49a53a608d63a694e5d72d5c8f57a2e31fc06ec6949,f9f8e0bd26f82e2e32ac77c65fd2aac941cd9c5a,1033,cls:AttentionFusion;cls:HybridFusionLayer;cls:EarlyFusionEncoder;cls:OmniAvaEngine
omni,src/omni_anomaly_engine/core/info_geometry.py,4789,ec0bcd1efe6e5e60588fff0ff9f1ff1c924c44d6b79282a67fc4ba5446fe1d34,bce059286b124a121d6ac971ed4b6bf8663ded50,131,cls:InformationGeometryDetector
omni,src/omni_anomaly_engine/core/multivariate_timeseries.py,14410,59d9023329cbbdc6c25cd4a627fd58478baf639d2b7d65df9c09153eaa33df88,d64713a1065998930eb729e897d32309a8669d40,391,cls:FractionalDifferentiator;cls:MultivariateTSDetector;cls:ChaosMultivariateFusion
omni,src/omni_anomaly_engine/core/neurosymbolic_engine.py,11090,a853402be0803f04d392b42c09826019ed1b18c614353be4245ae615e9510ad6,6cea10f796f1ed60efbb815e6cf6bce310e37f04,347,cls:ReadinessLevel;cls:TrainingPhase;cls:NeurosymbolicConfig;cls:TrainingMetrics;cls:NeurosymbolicEngine
omni,src/omni_anomaly_engine/core/novel_class_discovery.py,8117,ce5ac80e21120cd248e523c7e932c8cf3c89994246d0d1e78c7e7fdd73e976e1,aea740da06f17ad9d6617aae18a35e3d19ee8901,233,cls:MultiElementBinarization;cls:NovelClassDiscovery
omni,src/omni_anomaly_engine/core/quantum_kernels.py,6096,db6d9bff65821a68628629ee25dd7317abc0daf22f0ab768b91688169cc99533,e48169277bf0daf89cc8870a07d4a9450e464593,177,cls:QuantumKernelMachine
omni,src/omni_anomaly_engine/core/regenerative.py,11400,8a86ccea6e474b0a52ab9024f31a77f84e50894a3b8fecb7a9093004da003972,a95543f94afbdd9aa5d9af124888dbdb60ad13a1,301,cls:PermaculturePrinciple;cls:FeedbackLoop;cls:RegenerativeArchitecture
omni,src/omni_anomaly_engine/core/self_healing.py,7720,70c0bf24a0c4fd91b0bbc8ff8ca6bb6629660e9e480754e818096cb489250269,a46693949d9538fa8d92e3b3c147cc0cbf081651,214,cls:AnomalySignature;cls:CRISPRInspiredSelfHealing
omni,src/omni_anomaly_engine/core/symbolic_reasoning.py,8139,78ccc1a0f6220f6858db45f4bacbedbd30db67f8e62237d07249fe4c8216921d,26916e6e7a202201fd63b9ced2696fb89f33fd71,214,cls:SymbolicRule;cls:SymbolicReasoningEngine
omni,src/omni_anomaly_engine/core/three_r_mechanism.py,51717,16c45ae8268296ce4baeeb0929795a15bd74389c455ab7129dd269d802bf0951,5d3fcbd4d632cd84ac9713ca43be239fbd6bff41,1458,cls:RecursionEngine;cls:ResonanceEngine;cls:AnomalyDetectionMethod;cls:IssueType;cls:IssueSeverity;cls:EvolutionStrategy;cls:RefactoringConfig;cls:RefactoringEngine;cls:RefactoringTransformer;cls:ThreeRMechanism
omni,src/omni_anomaly_engine/data_sources/__init__.py,427,0cb3bdf03b66c4f445c6e7ed18d6913f043d665a4cee5fde060bfe8b26c01abd,c917c9e852219ee777434dc5f5b889761164cb2a,21,"__all__:USGSEarthquakeAPI,NOAASpaceWeatherAPI,NASAFIRMSWildfireAPI,RealtimeDataAggregator,DataSourceConfig"
omni,src/omni_anomaly_engine/data_sources/realtime_apis.py,16743,d1cf66759711e71f5d6c9d756690b51acdfc8946439821d37fcd2de7089d5746,529b85ee54006db827b4ee7c13c0fba0a0a7349d,504,cls:DataSourceConfig;cls:USGSEarthquakeAPI;cls:NOAASpaceWeatherAPI;cls:NASAFIRMSWildfireAPI;cls:RealtimeDataAggregator
omni,src/omni_anomaly_engine/detectors/__init__.py,668,8839f0a90c028b96a8a3e12c82a1984ee6db48f7b830c060208a349689f38ab8,d790013bfddadf9c1cfeb8b7a2441813f1c57a6e,19,"__all__:StatisticalAnomalyDetector,TemporalAnomalyDetector,SpatialAnomalyDetector,DimensionalAnalyzer,SigmaDirectiveDetector"
omni,src/omni_anomaly_engine/detectors/dimensional.py,9823,1022c3507ea5893d72c9963a3e535b88448a0d783a5ae46f19485e3a1c8be940,99c9985eaca609b64ed0d9504e6b48fc92c9a399,276,cls:NeuralProjection;cls:DimensionalAnalyzer
omni,src/omni_anomaly_engine/detectors/directive.py,13976,8b0cdbb5d08122d45428f07095881c7c11feb3f77c144b8d665f292160ed7749,5ac1a6e4d94e128b363d8eb7ffe3aebc8e85e809,409,cls:SigmaDirectiveDetector
omni,src/omni_anomaly_engine/detectors/graph_based.py,5211,76fa14193458fe0d3a71cb4ba9d2441077bc2790db6c57c97d91f9fc27663be6,d81a941d0265415a607853fbe53534adc03f0a37,152,cls:GraphAnomalyDetector
omni,src/omni_anomaly_engine/detectors/marine/__init__.py,102,afaad1171003cbc6b40c63077585d74184daaf39541c50195958f7a52294186b,bee3549e37d90347c1ea29414f9f24ea427efb61,5,
omni,src/omni_anomaly_engine/detectors/spatial.py,4255,a8dd7335fd62e393c21bb8872fefaa62ad2ce8210051eab886cf2c73c97a50ea,fe5e339de9e12f1a3573a7858658b8023a7bf019,124,cls:SpatialAnomalyDetector
omni,src/omni_anomaly_engine/detectors/statistical.py,4876,fa2075dc789bd20fad06255aa4173aad0aafee6fa00205e314399f3893c4d97d,1dd2cf8c5fe396cbfdcf04f960f55ee87b35374c,142,cls:StatisticalAnomalyDetector
omni,src/omni_anomaly_engine/detectors/temporal.py,4715,14a4259a6180e9c8a13b3f8342a878ab7913149ef59f25c49e09e079df6696d5,93de5a4ead5f2b30abfb938e9ff0242af9b527f8,141,cls:TemporalAnomalyDetector
omni,src/omni_anomaly_engine/domains/__init__.py,1795,68805982b281af946bba6b1a46bb65533b248924fbe06da6da9601e4ea683af1,a9194bc7206698a5c4ece387ca2eccf7d8b6208b,51,
omni,src/omni_anomaly_engine/domains/ciad/__init__.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,0,
omni,src/omni_anomaly_engine/domains/ciad/compliance/__init__.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,0,
omni,src/omni_anomaly_engine/domains/ciad/compliance/iot_connector.py,16723,2011f4ea028ff0c73ba356bea8c12aa256c309a56d45f581f6c43352ea118d92,4b71cee761ab4582b12eda3a5951b83c1f63afe0,530,cls:IoTMode;cls:SensorType;cls:MQTTQoS;cls:IoTDevice;cls:SensorReading;cls:IoTAnomalyResult;cls:IoTConnector;def:get_iot_connector
omni,src/omni_anomaly_engine/domains/ciad/compliance/nist_csf_integrator.py,21997,bfe59bfed4aedf0563dc801347d39966f4f3b64bff4e96b19f436368adb5e30f,2fc2bf2f09d9c5280852afda9f0e8a4590d9f28b,578,cls:NISTFunction;cls:ImplementationTier;cls:NISTCategory;cls:NISTProfile;cls:NISTAssessment;cls:NISTCSFIntegrator;def:get_nist_csf_integrator
